faqid,query,ans
45,How does demonetization of the 500 and 1000 notes bring down the real estate price?,45
45,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,45
46,Which phone should I buy under INR 15K?,46
46,Which phone should I buy under 15k?,46
46,Which is best mobile under 15000?,46
47,How can I study more hard?,47
47,How can I study more time and more effectively?,47
47,How can I do effective self study?,47
50,What is the best Quickbooks technical support number?,50
50,How QuickBooks Proavisor Tech support Phone Number is Prominent for getting Solutions?,50
50,"Which is the best QuickBooks Tech Support Number in New York, USA?",50
51,Why are Saltwater taffy candy imported in the Philippines?,51
51,Why is Saltwater taffy candy imported in The Bahamas?,51
51,Why is Saltwater taffy candy imported in Australia?,51
52,What is the funniest joke you have ever read heard or listened?,52
52,What is the best hilarious joke you have ever heard?,52
52,Which is the best joke you have ever heard?,52
53,What can one do to control his/her anger?,53
53,How does one deal with anger issues?,53
53,What are some good techniques for controlling your anger?,53
54,What does it take for a successful long distance relationship?,54
54,How do we can remain satisfied in a long distance relationship?,54
54,What is the trick to maintaining long distance relationships?,54
55,Where can I get very friendly assistance in Sydney for buying or refinancing a property?,55
55,"Where can I get experts help clients across Sydney for buy, sell or lease property?",55
55,Where can I get best services in property transactions across the Sydney?,55
57,Is NIIT Delhi good for a digital marketing course?,57
57,What are the best online short courses in digital marketing?,57
57,How helpful is doing digital marketing course?,57
58,Why is the chance to survive a shot between eyes with a 300grain HP .50AE Desert Eagle almost nonexistent?,58
58,Is it possible to survive a shot in the head with a .357 Magnum?,58
58,Can I survive A 50 AE Desert eagle hit in The head at close range?,58
86,What are some psychological tricks to stop caring about what people think?,86
86,How do I not care what other people think of me?,86
86,"Should I care what people think about me? Most have a positive impression of me, but should I care to keep it that way?",86
87,"Which is the best laptop under INR 30,000?",87
87,Which is the reasonably good laptop under 30K INR?,87
87,I want a new laptop with maximum configuration under 30000?,87
88,How do I get all the list registered to your gmail account?,88
88,How can I find all of my Gmail accounts that I ever set up?,88
88,Where are all my Gmail accounts?,88
89,"How do you know, if you are in love or its just a liking?",89
89,How do you know if you are in love with someone?,89
89,How could we know that we are falling in love?,89
91,Why did MS Dhoni quit ODI and T20 captaincy?,91
91,What could be the possible reasons of Dhoni's decision of stepping down from captaincy?,91
91,Why did MS Dhoni steps down as captain of India limited overs side?,91
93,How do we know whether India really conducted the surgical strike against Pakistan?,93
93,Is the surgical strike against Pakistan fake?,93
93,Did India do surgical strikes inside POK ?,93
95,What age is too old to get a medical MD?,95
95,Is it too late to go to medical school at 24?,95
95,"I'm 27, is it too late for me to go to medical school?",95
